Hit,Protein1,Protein2,E,Score,Organism
40,A0T0D6,B1XHW6,3.8e-22,82.7,Synechococcus sp. PCC 7002
41,A0T0D6,B7JWV1,4.3e-22,82.5,Rippkaea orientalis (strain PCC 8801)
42,A0T0D6,A2BT63,2.9e-21,79.9,Prochlorococcus marinus (strain AS9601)
43,A0T0D6,A3PEX6,3.9e-21,79.5,Prochlorococcus marinus (strain MIT 9301)
44,A0T0D6,Q318Q5,4.7e-21,79.2,Prochlorococcus marinus (strain MIT 9312)
45,A0T0D6,B7KG02,5.9e-21,78.9,Gloeothece citriformis (strain PCC 7424)
46,A0T0D6,Q7TU38,6.9e-21,78.7,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)
47,A0T0D6,A5GNH5,7.7e-21,78.5,Synechococcus sp. (strain WH7803)
48,A0T0D6,A8G6Y8,1.4e-20,77.7,Prochlorococcus marinus (strain MIT 9215)
49,A0T0D6,P73336,1.5e-20,77.6,Synechocystis sp. (strain PCC 6803 / Kazusa)
50,A0T0D6,A2BYL3,3.7e-20,76.4,Prochlorococcus marinus str. MIT 9515
51,A0T0D6,B0C2C8,6.2e-20,75.6,Acaryochloris marina (strain MBIC 11017)
52,A0T0L0,B2J6T8,1.1e-10,46.1,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
53,A0T0L0,Q3MBE2,5.6e-10,43.9,Trichormus variabilis ATCC 29413
54,A0T0L0,Q8YMX2,1.1e-09,42.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
55,A0T0L0,Q10XV0,1.5e-09,42.5,Trichodesmium erythraeum (strain IMS101)
56,A0T0L0,Q8R6M1,1.7e-09,42.3,Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4)
57,A0T0L0,B5YEW9,2.6e-09,41.8,Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12)
58,A0T0L0,P51359,3.7e-09,41.2,Porphyra purpurea
59,A0T0L0,Q1XDC8,6.7e-09,40.4,Pyropia yezoensis
60,A0T0L0,B8E0J2,9e-09,40.0,Dictyoglomus turgidum (strain DSM 6724 / Z-1310)
61,A0T0L0,C5D9X6,1.5e-08,39.3,Geobacillus sp. (strain WCH70)
62,A0T0L0,P73636,1.6e-08,39.2,Synechocystis sp. (strain PCC 6803 / Kazusa)
63,A0T0L0,A2BZ93,2.1e-08,38.8,Prochlorococcus marinus str. MIT 9515
64,A0T0L0,B1WU11,2.2e-08,38.8,Crocosphaera subtropica (strain ATCC 51142 / BH68)
65,A0T0L0,B7JXP0,3.1e-08,38.3,Rippkaea orientalis (strain PCC 8801)
66,A0T0L0,B1XP08,3.4e-08,38.2,Synechococcus sp. PCC 7002
67,A0T0L0,B0JSQ9,3.4e-08,38.2,Microcystis aeruginosa (strain NIES-843)
68,A0T0L0,Q7NNH7,6.2e-08,37.3,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
69,A0T0G3,Q9Z3H5,7.5e-35,124.1,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
70,A0T0G3,Q0I801,1.3e-34,123.4,Synechococcus sp. (strain CC9311)
71,A0T0G3,Q10ZG6,5.5e-34,121.3,Trichodesmium erythraeum (strain IMS101)
72,A0T0G3,Q2JNE1,1.3000000000000001e-33,120.1,Synechococcus sp. (strain JA-2-3B'a(2-13))
73,A0T0G3,Q5N597,2e-33,119.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
74,A0T0G3,Q7VAN3,3.5e-33,118.7,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)
75,A0T0G3,B7JZA4,8.2e-33,117.6,Rippkaea orientalis (strain PCC 8801)
76,A0T0G3,Q8Z0F0,1.1e-32,117.2,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
77,A0T0G3,B0JQG4,2.2e-32,116.2,Microcystis aeruginosa (strain NIES-843)
78,A0T0G3,Q3MCZ7,2.2e-32,116.2,Trichormus variabilis ATCC 29413
79,A0T0I6,Q32RV3,2.7e-63,217.0,Staurastrum punctulatum
80,A0T0I6,P51307,2.7999999999999997e-63,216.9,Porphyra purpurea
81,A0T0I6,Q1ACG0,3.2e-63,216.7,Chara vulgaris
82,A0T0I6,Q1XDI1,6.4e-63,215.8,Pyropia yezoensis
83,A0T0I6,Q5SD18,7.799999999999999e-63,215.5,Huperzia lucidula
84,A0T0I6,A6YGC7,1.0999999999999999e-62,215.0,Pleurastrum terricola
85,A0T0I6,Q32RN5,1.4999999999999998e-62,214.6,Zygnema circumcarinatum
86,A0T0I6,Q110B4,1.8e-62,214.3,Trichodesmium erythraeum (strain IMS101)
87,A0T0I6,Q6YXK9,2.3e-62,213.9,Physcomitrium patens
88,A0T0I6,Q0P3L6,3.7e-62,213.3,Ostreococcus tauri
89,A0T0I6,A2T371,5.7e-62,212.7,Angiopteris evecta
90,A0T0I6,B0C1E0,7.899999999999999e-62,212.2,Acaryochloris marina (strain MBIC 11017)
91,A0T0I6,Q8M9V1,1.1e-61,211.8,Chaetosphaeridium globosum
92,A0T0I6,Q85C49,1.8e-61,211.0,Anthoceros angustus
93,A0T0I6,B8HMR1,2.3e-61,210.7,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
94,A0T0I6,P23406,2.7e-61,210.5,Cyanophora paradoxa
95,A0T0I6,Q9MUU3,3.8999999999999996e-61,210.0,Mesostigma viride
96,A0T0H2,A2BV69,1.3999999999999994e-68,235.1,Prochlorococcus marinus str. MIT 9515
97,A0T0H2,Q5MZ57,1.6999999999999999e-68,234.9,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
98,A0T0H2,Q31N52,1.6999999999999999e-68,234.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
99,A0T0H2,Q31CC9,5.0000000000000005e-68,233.3,Prochlorococcus marinus (strain MIT 9312)
100,A0T0H2,Q7V2R1,6.7999999999999995e-68,232.9,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)
101,A0T0H2,A8G3C1,9.6e-68,232.4,Prochlorococcus marinus (strain MIT 9215)
102,A0T0H2,A2BPN7,9.6e-68,232.4,Prochlorococcus marinus (strain AS9601)
103,A0T0H2,A3PBC7,9.6e-68,232.4,Prochlorococcus marinus (strain MIT 9301)
104,A0T0H2,A9BE29,3.4e-67,230.6,Prochlorococcus marinus (strain MIT 9211)
105,A0T0H2,B2J1M8,7.3e-67,229.5,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
106,A0T0H2,Q7V8U9,1.1e-66,229.0,Prochlorococcus marinus (strain MIT 9313)
107,A0T0H2,A2CBJ1,1.1e-66,229.0,Prochlorococcus marinus str. MIT 9303
108,A0T0H2,Q119M5,1.9000000000000001e-66,228.2,Trichodesmium erythraeum (strain IMS101)
109,A0T0H2,Q7U5K9,3.6e-66,227.3,Synechococcus sp. (strain WH8102)
110,A0T0H2,Q4G3A4,3.7e-66,227.2,Emiliania huxleyi
111,A0T0H2,Q3ALH7,5.6e-66,226.6,Synechococcus sp. CC9605
112,A0T0H2,A5GJA2,7.4e-66,226.2,Synechococcus sp. (strain WH7803)
113,A0T0C1,B7JWT7,1.2e-81,278.2,Rippkaea orientalis (strain PCC 8801)
114,A0T0C1,O78413,3.7000000000000003e-81,276.6,Guillardia theta
115,A0T0C1,A8G2L0,1.8e-80,274.3,Prochlorococcus marinus (strain MIT 9215)
116,A0T0C1,Q7V382,1.8e-80,274.3,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)
117,A0T0C1,A2BUI0,2.0000000000000003e-80,274.2,Prochlorococcus marinus str. MIT 9515
118,A0T0C1,B0JNQ5,2.5000000000000004e-80,273.9,Microcystis aeruginosa (strain NIES-843)
119,A0T0C1,Q0I6K8,3.9000000000000005e-80,273.3,Synechococcus sp. (strain CC9311)
120,A0T0C1,Q8DM27,4.6000000000000004e-80,273.0,Thermosynechococcus elongatus (strain BP-1)
121,A0T0C1,Q2JTQ5,5.7000000000000006e-80,272.7,Synechococcus sp. (strain JA-3-3Ab)
122,A0T0C1,Q31CX8,8.000000000000001e-80,272.2,Prochlorococcus marinus (strain MIT 9312)
123,A0T0C1,A2BNZ8,9e-80,272.1,Prochlorococcus marinus (strain AS9601)
124,A0T0C1,Q7VDY6,9.100000000000001e-80,272.0,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)
125,A0T0C1,B7KIR7,1.1e-79,271.8,Gloeothece citriformis (strain PCC 7424)
126,A0T0C1,B0CAD0,1.6e-79,271.2,Acaryochloris marina (strain MBIC 11017)
127,A0T0C1,A2CDE8,1.8e-79,271.1,Prochlorococcus marinus str. MIT 9303
128,A0T0C1,A3PAS1,2.3e-79,270.7,Prochlorococcus marinus (strain MIT 9301)
129,A0T0C1,Q2JM50,4.9e-79,269.7,Synechococcus sp. (strain JA-2-3B'a(2-13))
130,A0T0J3,P49548,1.1e-77,264.6,Trieres chinensis
131,A0T0J3,B7KI01,4.9e-53,184.4,Gloeothece citriformis (strain PCC 7424)
132,A0T0J3,A5GAV7,3.9e-51,178.2,Geobacter uraniireducens (strain Rf4)
133,A0T0J3,Q2JIL3,8e-51,177.2,Synechococcus sp. (strain JA-2-3B'a(2-13))
134,A0T0J3,B5YDV8,8.6e-51,177.1,Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12)
135,A0T0J3,Q8ETW8,8.8e-51,177.1,Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831)
136,A0T0J3,B8E1E8,2.5e-50,175.6,Dictyoglomus turgidum (strain DSM 6724 / Z-1310)
137,A0T0J3,Q2JQN4,3.1e-50,175.3,Synechococcus sp. (strain JA-3-3Ab)
138,A0T0J3,B5EFR5,3.5e-50,175.2,Geobacter bemidjiensis (strain Bem / ATCC BAA-1014 / DSM 16622)
139,A0T0J3,B9M6G3,4.5e-50,174.8,Geobacter daltonii (strain DSM 22248 / JCM 15807 / FRC-32)
140,A0T0J3,P73306,1.1e-49,173.6,Synechocystis sp. (strain PCC 6803 / Kazusa)
141,A0T0J3,A0L5Y8,3.8e-49,171.8,Magnetococcus marinus (strain ATCC BAA-1437 / JCM 17883 / MC-1)
142,A0T0J3,B2A4F4,3.899999999999999e-49,171.7,Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF)
143,A0T0J3,Q65P92,4.2e-49,171.7,Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)
144,A0T0J3,A0LIK5,5.000000000000001e-49,171.4,Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)
145,A0T0J3,Q3MFA7,7e-49,170.9,Trichormus variabilis ATCC 29413
146,A0T0J3,O23049,1.2e-48,170.2,Arabidopsis thaliana
147,A0T0J3,B3E845,1.2e-48,170.2,Geobacter lovleyi (strain ATCC BAA-1151 / DSM 17278 / SZ)
148,B7FUM7,D0NVH9,4.4e-197,661.0,Phytophthora infestans (strain T30-4)
149,B7FUM7,B4PPT4,2.9e-159,536.2,Drosophila yakuba
150,B7FUM7,Q017T9,2.6000000000000002e-157,529.7,Ostreococcus tauri
151,B7FUM7,A4RYD2,2.4e-154,519.9,Ostreococcus lucimarinus (strain CCE9901)
152,B7FUM7,B0DQB9,1e-153,517.9,Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686)
153,B7FUM7,A8NDT2,3.2e-153,516.2,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003)
154,B7FUM7,A9SCV9,3.4e-153,516.1,Physcomitrium patens
155,B7FUM7,A5DIP4,1.6e-152,513.9,Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324)
156,B7FUM7,Q4P7R2,3.8e-152,512.7,Ustilago maydis (strain 521 / FGSC 9021)
157,B7FUM7,A5DSZ3,5.9999999999999996e-151,508.7,Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239)
158,B7FUM7,Q6FMU9,7.899999999999999e-151,508.3,Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65)
159,B7FUM7,A9TIK2,1.5e-150,507.4,Physcomitrium patens
160,B7FUM7,C5MBF2,2.3999999999999999e-150,506.8,Candida tropicalis (strain ATCC MYA-3404 / T1)
161,B7FUM7,Q851S8,2.8e-150,506.5,Oryza sativa subsp. japonica
162,B7FUM7,A8Q0E3,3.2e-150,506.3,Malassezia globosa (strain ATCC MYA-4612 / CBS 7966)
163,B7FUM7,C4R8E8,3.4e-150,506.2,Komagataella phaffii (strain GS115 / ATCC 20864)
164,B7FUM7,Q6CQ65,5.9e-150,505.5,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)
165,B7FUM7,C5WNV2,8e-150,505.0,Sorghum bicolor
166,B7FUM7,A3LYS9,8.699999999999999e-150,504.9,Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)
167,A0T0A0,Q6B8U9,1.3e-13,53.6,Gracilaria tenuistipitata var. liui
168,A0T0A0,A6MVZ4,1.3e-13,53.5,Rhodomonas salina
169,A0T0A0,O78505,2.5e-13,52.8,Guillardia theta
170,A0T0A0,P74149,4.6e-13,51.9,Synechocystis sp. (strain PCC 6803 / Kazusa)
171,A0T0A0,Q4G378,7.1e-13,51.4,Emiliania huxleyi
172,A0T0A0,Q32RH6,1.5e-12,50.4,Zygnema circumcarinatum
173,A0T0A0,Q8M9Y4,2e-12,50.0,Chaetosphaeridium globosum
174,A0T0A0,Q32RT5,2.2e-12,49.9,Staurastrum punctulatum
175,A0T0A0,Q1ACI5,2.5e-12,49.7,Chara vulgaris
176,A0T0A0,B7JUD9,3.1e-12,49.4,Rippkaea orientalis (strain PCC 8801)
177,A0T0A0,B0JUK8,3.1e-12,49.4,Microcystis aeruginosa (strain NIES-843)
178,A0T0A0,B1WY29,4.3e-12,49.0,Crocosphaera subtropica (strain ATCC 51142 / BH68)
179,A0T0A0,Q9Z3G1,4.4e-12,49.0,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
180,A0T0A0,Q1XDG9,4.6e-12,48.9,Pyropia yezoensis
181,A0T0A0,P12120,4.7e-12,48.9,Marchantia polymorpha
182,A0T0K7,B8HV47,1.1e-33,120.4,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
183,A0T0K7,B0CCC9,9.999999999999999e-33,117.3,Acaryochloris marina (strain MBIC 11017)
184,A0T0K7,Q2JUX3,3.5000000000000004e-32,115.6,Synechococcus sp. (strain JA-3-3Ab)
185,A0T0K7,Q2JMX6,3.6e-32,115.5,Synechococcus sp. (strain JA-2-3B'a(2-13))
186,A0T0K7,B2J5B2,4.2000000000000004e-32,115.3,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
187,A0T0K7,B1WQY3,7.000000000000001e-32,114.6,Crocosphaera subtropica (strain ATCC 51142 / BH68)
188,A0T0K7,Q8DI41,7.900000000000001e-32,114.4,Thermosynechococcus elongatus (strain BP-1)
189,A0T0K7,B7K833,8.1e-32,114.4,Gloeothece citriformis (strain PCC 7424)
190,A0T0K7,Q3MDM6,1.1e-31,113.9,Trichormus variabilis ATCC 29413
191,A0T0K7,Q8YP64,1.1e-31,113.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
192,A0T0K7,A9BCJ9,1.5e-31,113.6,Prochlorococcus marinus (strain MIT 9211)
193,A0T0K7,B0JSD9,1.5999999999999999e-31,113.5,Microcystis aeruginosa (strain NIES-843)
194,A0T0K7,B1XI62,1.5999999999999999e-31,113.5,Synechococcus sp. PCC 7002
195,A0T0K7,Q31PV6,1.5999999999999999e-31,113.5,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
196,A0T0K7,Q5N4C2,1.5999999999999999e-31,113.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
197,A0T0K7,Q3AMT7,1.5999999999999999e-31,113.5,Synechococcus sp. CC9605
198,A0T0K7,P48852,1.5999999999999999e-31,113.4,Arthrospira platensis
199,A0T0M2,Q6B8Q2,1.3e-16,62.6,Gracilaria tenuistipitata var. liui
200,A0T0M2,Q19V93,1.8e-15,59.2,Chlorokybus atmophyticus
201,A0T0M2,B1WYX8,5.4e-15,57.7,Crocosphaera subtropica (strain ATCC 51142 / BH68)
202,A0T0M2,Q9MUS1,7.5e-15,57.3,Mesostigma viride
203,A0T0M2,P48106,8.6e-15,57.1,Cyanophora paradoxa
204,A0T0M2,Q32RP2,1.1e-14,56.9,Zygnema circumcarinatum
205,A0T0M2,Q8M9Z9,1.2e-14,56.7,Chaetosphaeridium globosum
206,A0T0M2,O19882,2.2e-14,55.9,Cyanidium caldarium
207,A0T0M2,B1VKI2,4e-14,55.1,Cryptomeria japonica
208,A0T0F1,Q1XDP5,4.6e-253,845.0,Pyropia yezoensis
209,A0T0F1,Q112Z6,3.3e-252,842.1,Trichodesmium erythraeum (strain IMS101)
210,A0T0F1,P51242,1.1999999999999998e-251,840.3,Porphyra purpurea
211,A0T0F1,B7KKR4,7.3e-251,837.7,Gloeothece citriformis (strain PCC 7424)
212,A0T0F1,P08449,4.8e-249,831.7,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
213,A0T0F1,Q02848,2.0000000000000004e-248,829.7,Antithamnion sp.
214,A0T0F1,Q31RF1,6.500000000000001e-248,828.0,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
215,A0T0F1,P27179,9.000000000000001e-248,827.5,Synechocystis sp. (strain PCC 6803 / Kazusa)
216,A0T0F1,Q8DLP3,9.500000000000001e-248,827.5,Thermosynechococcus elongatus (strain BP-1)
217,A0T0F1,B2J058,3.4e-247,825.6,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
218,A0T0J8,Q8DML1,1.6e-43,152.7,Thermosynechococcus elongatus (strain BP-1)
219,A0T0J8,Q97EK3,7.7e-43,150.5,Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)
220,A0T0J8,Q2JUJ3,2.8e-42,148.7,Synechococcus sp. (strain JA-3-3Ab)
221,A0T0J8,P48137,2.8999999999999996e-42,148.6,Cyanophora paradoxa
222,A0T0J8,B0TC82,7.8e-42,147.2,Heliobacterium modesticaldum (strain ATCC 51547 / Ice1)
223,A0T0J8,Q1XDJ3,1e-41,146.9,Pyropia yezoensis
224,A0T0J8,Q2JL76,1.7e-41,146.2,Synechococcus sp. (strain JA-2-3B'a(2-13))
225,A0T0J8,A6MW20,2.3999999999999997e-41,145.7,Rhodomonas salina
226,A0T0J8,B0JY40,1.4e-40,143.2,Microcystis aeruginosa (strain NIES-843)
227,A0T0J8,P51295,1.4e-40,143.2,Porphyra purpurea
228,A0T0J8,B7KI09,1.6e-40,143.1,Gloeothece citriformis (strain PCC 7424)
229,A0T0J8,B2ITN3,1.7e-40,143.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
230,A0T0J8,O46912,3.5e-40,141.9,Guillardia theta
231,A0T0J8,A1ALW4,4.5e-40,141.6,Pelobacter propionicus (strain DSM 2379 / NBRC 103807 / OttBd1)
232,A0T0J8,B8HMS6,5.9999999999999996e-40,141.2,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
233,A0T0J8,B8G1Z1,7.1e-40,140.9,Desulfitobacterium hafniense (strain DSM 10664 / DCB-2)
234,A0T0J8,Q250K7,7.1e-40,140.9,Desulfitobacterium hafniense (strain Y51)
235,A0T0G5,O78441,2.6e-282,944.1,Guillardia theta
236,A0T0G5,A6MVS6,4.5e-277,926.8,Rhodomonas salina
237,A0T0G5,Q8DHU4,4.1e-276,923.6,Thermosynechococcus elongatus (strain BP-1)
238,A0T0G5,B8HSJ5,2.3000000000000002e-274,917.8,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
239,A0T0G5,Q3MB92,5.8000000000000005e-272,909.9,Trichormus variabilis ATCC 29413
240,A0T0G5,B0C1V9,9.9e-272,909.1,Acaryochloris marina (strain MBIC 11017)
241,A0T0G5,Q10VW7,2.6e-271,907.7,Trichodesmium erythraeum (strain IMS101)
242,A0T0G5,Q8YMS8,8.000000000000001e-271,906.1,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
243,A0T0G5,B2IUA9,4.6e-270,903.6,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
244,A0T0G5,B7K818,1.2e-266,892.3,Gloeothece citriformis (strain PCC 7424)
245,A0T0G5,Q2JW99,4.2e-266,890.5,Synechococcus sp. (strain JA-3-3Ab)
246,A0T0G5,B0JLJ4,2e-265,888.3,Microcystis aeruginosa (strain NIES-843)
247,A0T0G5,Q1XDA6,6.999999999999999e-265,886.5,Pyropia yezoensis
248,A0T0G5,Q2JJ09,7.1e-265,886.5,Synechococcus sp. (strain JA-2-3B'a(2-13))
249,A0T0G5,P51381,1e-264,885.9,Porphyra purpurea
250,A0T0G5,B7K110,3.7999999999999997e-264,884.0,Rippkaea orientalis (strain PCC 8801)
251,A0T0G5,Q55709,5.9e-264,883.4,Synechocystis sp. (strain PCC 6803 / Kazusa)
252,A0T0H9,B0C1D4,7.2e-56,193.7,Acaryochloris marina (strain MBIC 11017)
253,A0T0H9,B7KHY8,8.9e-56,193.4,Gloeothece citriformis (strain PCC 7424)
254,A0T0H9,B7K334,4.6e-54,187.9,Rippkaea orientalis (strain PCC 8801)
255,A0T0H9,B8HMQ5,6.6e-54,187.3,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
256,A0T0H9,Q8DMN0,7.8e-54,187.1,Thermosynechococcus elongatus (strain BP-1)
257,A0T0H9,O24690,2.5e-53,185.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
258,A0T0H9,Q31L08,2.5e-53,185.5,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
259,A0T0H9,Q3MFC0,2.5e-53,185.4,Trichormus variabilis ATCC 29413
260,A0T0H9,B2ITQ4,3.3999999999999995e-53,185.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
261,A0T0H9,Q8YPI0,4.2e-53,184.7,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
262,A0T0H9,B0JI02,1.8e-52,182.6,Microcystis aeruginosa (strain NIES-843)
263,A0T0H9,Q110A8,4.6e-52,181.3,Trichodesmium erythraeum (strain IMS101)
264,A0T0H9,A2BYT5,3.1e-48,168.8,Prochlorococcus marinus str. MIT 9515
265,A0T0H9,P73319,6.700000000000001e-48,167.7,Synechocystis sp. (strain PCC 6803 / Kazusa)
266,B7G3Y9,B3L8F2,2.9000000000000004e-130,439.1,Plasmodium knowlesi (strain H)
267,B7G3Y9,Q8LEE8,9.1e-128,430.9,Arabidopsis thaliana
268,B7G3Y9,B9I666,2.6e-126,426.1,Populus trichocarpa
269,B7G3Y9,C0PN26,8.700000000000001e-125,421.1,Zea mays
270,B7G3Y9,B6TN12,2.1e-124,419.8,Zea mays
271,B7G3Y9,C5XKZ1,5.9e-124,418.3,Sorghum bicolor
272,B7G3Y9,B8B016,6.3e-124,418.3,Oryza sativa subsp. indica
273,B7G3Y9,B8AA76,2.4e-123,416.3,Oryza sativa subsp. indica
274,B7G3Y9,Q5ZAQ2,2.4e-123,416.3,Oryza sativa subsp. japonica
275,B7G3Y9,Q6L534,3.0000000000000002e-123,416.0,Oryza sativa subsp. japonica
276,B7G3Y9,A8I2V9,1.7000000000000002e-122,413.6,Chlamydomonas reinhardtii
277,B7G3Y9,B9RX57,2.3e-122,413.2,Ricinus communis
278,B7G3Y9,Q6PHG4,6.2e-121,408.4,Danio rerio
279,B7G3Y9,Q6GQ48,1.1e-119,404.4,Xenopus laevis
280,A0T0A6,Q19V80,5.9e-14,55.5,Chlorokybus atmophyticus
281,A0T0A6,Q9TM23,9e-14,54.9,Cyanidium caldarium
282,A0T0A6,P19053,1.5e-13,54.2,Secale cereale
283,A0T0A6,P12189,2.3e-13,53.7,Oryza sativa subsp. japonica
284,A0T0A6,Q6ENF9,2.3e-13,53.7,Oryza nivara
285,A0T0A6,P0C415,2.3e-13,53.7,Oryza sativa subsp. indica
286,A0T0A6,P0C414,2.3e-13,53.7,Oryza sativa
