Hit,Protein1,Protein2,E,Score,Organism,concat1,concat2
117,A0T0G3,Q8Z0F0,1.1e-32,117.2,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),A0T0G3Q8Z0F0,Q8Z0F0A0T0G3
118,A0T0G3,B0JQG4,2.2e-32,116.2,Microcystis aeruginosa (strain NIES-843),A0T0G3B0JQG4,B0JQG4A0T0G3
119,A0T0G3,Q3MCZ7,2.2e-32,116.2,Trichormus variabilis ATCC 29413,A0T0G3Q3MCZ7,Q3MCZ7A0T0G3
123,A0T0I6,Q32RV3,2.7e-63,217.0,Staurastrum punctulatum,A0T0I6Q32RV3,Q32RV3A0T0I6
124,A0T0I6,P51307,2.8e-63,216.9,Porphyra purpurea,A0T0I6P51307,P51307A0T0I6
125,A0T0I6,Q1ACG0,3.2e-63,216.7,Chara vulgaris,A0T0I6Q1ACG0,Q1ACG0A0T0I6
126,A0T0I6,Q1XDI1,6.4e-63,215.8,Pyropia yezoensis,A0T0I6Q1XDI1,Q1XDI1A0T0I6
127,A0T0I6,Q5SD18,7.8e-63,215.5,Huperzia lucidula,A0T0I6Q5SD18,Q5SD18A0T0I6
128,A0T0I6,A6YGC7,1.1e-62,215.0,Pleurastrum terricola,A0T0I6A6YGC7,A6YGC7A0T0I6
129,A0T0I6,Q32RN5,1.5e-62,214.6,Zygnema circumcarinatum,A0T0I6Q32RN5,Q32RN5A0T0I6
130,A0T0I6,Q110B4,1.8e-62,214.3,Trichodesmium erythraeum (strain IMS101),A0T0I6Q110B4,Q110B4A0T0I6
131,A0T0I6,Q6YXK9,2.3e-62,213.9,Physcomitrium patens,A0T0I6Q6YXK9,Q6YXK9A0T0I6
132,A0T0I6,Q0P3L6,3.7e-62,213.3,Ostreococcus tauri,A0T0I6Q0P3L6,Q0P3L6A0T0I6
133,A0T0I6,A2T371,5.7e-62,212.7,Angiopteris evecta,A0T0I6A2T371,A2T371A0T0I6
134,A0T0I6,B0C1E0,7.9e-62,212.2,Acaryochloris marina (strain MBIC 11017),A0T0I6B0C1E0,B0C1E0A0T0I6
135,A0T0I6,Q8M9V1,1.1e-61,211.8,Chaetosphaeridium globosum,A0T0I6Q8M9V1,Q8M9V1A0T0I6
136,A0T0I6,Q85C49,1.8e-61,211.0,Anthoceros angustus,A0T0I6Q85C49,Q85C49A0T0I6
137,A0T0I6,B8HMR1,2.3e-61,210.7,Cyanothece sp. (strain PCC 7425 / ATCC 29141),A0T0I6B8HMR1,B8HMR1A0T0I6
138,A0T0I6,P23406,2.7e-61,210.5,Cyanophora paradoxa,A0T0I6P23406,P23406A0T0I6
139,A0T0I6,Q9MUU3,3.9e-61,210.0,Mesostigma viride,A0T0I6Q9MUU3,Q9MUU3A0T0I6
143,A0T0H2,A2BV69,1.4e-68,235.1,Prochlorococcus marinus str. MIT 9515,A0T0H2A2BV69,A2BV69A0T0H2
144,A0T0H2,Q5MZ57,1.7e-68,234.9,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),A0T0H2Q5MZ57,Q5MZ57A0T0H2
145,A0T0H2,Q31N52,1.7e-68,234.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805),A0T0H2Q31N52,Q31N52A0T0H2
146,A0T0H2,Q31CC9,5.0e-68,233.3,Prochlorococcus marinus (strain MIT 9312),A0T0H2Q31CC9,Q31CC9A0T0H2
147,A0T0H2,Q7V2R1,6.8e-68,232.9,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4),A0T0H2Q7V2R1,Q7V2R1A0T0H2
148,A0T0H2,A8G3C1,9.6e-68,232.4,Prochlorococcus marinus (strain MIT 9215),A0T0H2A8G3C1,A8G3C1A0T0H2
149,A0T0H2,A2BPN7,9.6e-68,232.4,Prochlorococcus marinus (strain AS9601),A0T0H2A2BPN7,A2BPN7A0T0H2
150,A0T0H2,A3PBC7,9.6e-68,232.4,Prochlorococcus marinus (strain MIT 9301),A0T0H2A3PBC7,A3PBC7A0T0H2
151,A0T0H2,A9BE29,3.4e-67,230.6,Prochlorococcus marinus (strain MIT 9211),A0T0H2A9BE29,A9BE29A0T0H2
152,A0T0H2,B2J1M8,7.3e-67,229.5,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),A0T0H2B2J1M8,B2J1M8A0T0H2
153,A0T0H2,Q7V8U9,1.1e-66,229.0,Prochlorococcus marinus (strain MIT 9313),A0T0H2Q7V8U9,Q7V8U9A0T0H2
154,A0T0H2,A2CBJ1,1.1e-66,229.0,Prochlorococcus marinus str. MIT 9303,A0T0H2A2CBJ1,A2CBJ1A0T0H2
155,A0T0H2,Q119M5,1.9e-66,228.2,Trichodesmium erythraeum (strain IMS101),A0T0H2Q119M5,Q119M5A0T0H2
156,A0T0H2,Q7U5K9,3.6e-66,227.3,Synechococcus sp. (strain WH8102),A0T0H2Q7U5K9,Q7U5K9A0T0H2
157,A0T0H2,Q4G3A4,3.7e-66,227.2,Emiliania huxleyi,A0T0H2Q4G3A4,Q4G3A4A0T0H2
158,A0T0H2,Q3ALH7,5.6e-66,226.6,Synechococcus sp. CC9605,A0T0H2Q3ALH7,Q3ALH7A0T0H2
159,A0T0H2,A5GJA2,7.4e-66,226.2,Synechococcus sp. (strain WH7803),A0T0H2A5GJA2,A5GJA2A0T0H2
163,A0T0C1,B7JWT7,1.2e-81,278.2,Rippkaea orientalis (strain PCC 8801),A0T0C1B7JWT7,B7JWT7A0T0C1
164,A0T0C1,O78413,3.7e-81,276.6,Guillardia theta,A0T0C1O78413,O78413A0T0C1
165,A0T0C1,A8G2L0,1.8e-80,274.3,Prochlorococcus marinus (strain MIT 9215),A0T0C1A8G2L0,A8G2L0A0T0C1
166,A0T0C1,Q7V382,1.8e-80,274.3,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4),A0T0C1Q7V382,Q7V382A0T0C1
167,A0T0C1,A2BUI0,2.0e-80,274.2,Prochlorococcus marinus str. MIT 9515,A0T0C1A2BUI0,A2BUI0A0T0C1
168,A0T0C1,B0JNQ5,2.5e-80,273.9,Microcystis aeruginosa (strain NIES-843),A0T0C1B0JNQ5,B0JNQ5A0T0C1
169,A0T0C1,Q0I6K8,3.9e-80,273.3,Synechococcus sp. (strain CC9311),A0T0C1Q0I6K8,Q0I6K8A0T0C1
170,A0T0C1,Q8DM27,4.6e-80,273.0,Thermosynechococcus elongatus (strain BP-1),A0T0C1Q8DM27,Q8DM27A0T0C1
171,A0T0C1,Q2JTQ5,5.7e-80,272.7,Synechococcus sp. (strain JA-3-3Ab),A0T0C1Q2JTQ5,Q2JTQ5A0T0C1
172,A0T0C1,Q31CX8,8.0e-80,272.2,Prochlorococcus marinus (strain MIT 9312),A0T0C1Q31CX8,Q31CX8A0T0C1
173,A0T0C1,A2BNZ8,9.0e-80,272.1,Prochlorococcus marinus (strain AS9601),A0T0C1A2BNZ8,A2BNZ8A0T0C1
174,A0T0C1,Q7VDY6,9.1e-80,272.0,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120),A0T0C1Q7VDY6,Q7VDY6A0T0C1
175,A0T0C1,B7KIR7,1.1e-79,271.8,Gloeothece citriformis (strain PCC 7424),A0T0C1B7KIR7,B7KIR7A0T0C1
176,A0T0C1,B0CAD0,1.6e-79,271.2,Acaryochloris marina (strain MBIC 11017),A0T0C1B0CAD0,B0CAD0A0T0C1
177,A0T0C1,A2CDE8,1.8e-79,271.1,Prochlorococcus marinus str. MIT 9303,A0T0C1A2CDE8,A2CDE8A0T0C1
178,A0T0C1,A3PAS1,2.3e-79,270.7,Prochlorococcus marinus (strain MIT 9301),A0T0C1A3PAS1,A3PAS1A0T0C1
179,A0T0C1,Q2JM50,4.9e-79,269.7,Synechococcus sp. (strain JA-2-3B'a(2-13)),A0T0C1Q2JM50,Q2JM50A0T0C1
181,A0T0J3,P49548,1.1e-77,264.6,Trieres chinensis,A0T0J3P49548,P49548A0T0J3
183,A0T0J3,B7KI01,4.9e-53,184.4,Gloeothece citriformis (strain PCC 7424),A0T0J3B7KI01,B7KI01A0T0J3
184,A0T0J3,A5GAV7,3.9e-51,178.2,Geobacter uraniireducens (strain Rf4),A0T0J3A5GAV7,A5GAV7A0T0J3
185,A0T0J3,Q2JIL3,8.0e-51,177.2,Synechococcus sp. (strain JA-2-3B'a(2-13)),A0T0J3Q2JIL3,Q2JIL3A0T0J3
186,A0T0J3,B5YDV8,8.6e-51,177.1,Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12),A0T0J3B5YDV8,B5YDV8A0T0J3
187,A0T0J3,Q8ETW8,8.8e-51,177.1,Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831),A0T0J3Q8ETW8,Q8ETW8A0T0J3
188,A0T0J3,B8E1E8,2.5e-50,175.6,Dictyoglomus turgidum (strain DSM 6724 / Z-1310),A0T0J3B8E1E8,B8E1E8A0T0J3
189,A0T0J3,Q2JQN4,3.1e-50,175.3,Synechococcus sp. (strain JA-3-3Ab),A0T0J3Q2JQN4,Q2JQN4A0T0J3
190,A0T0J3,B5EFR5,3.5e-50,175.2,Geobacter bemidjiensis (strain Bem / ATCC BAA-1014 / DSM 16622),A0T0J3B5EFR5,B5EFR5A0T0J3
191,A0T0J3,B9M6G3,4.5e-50,174.8,Geobacter daltonii (strain DSM 22248 / JCM 15807 / FRC-32),A0T0J3B9M6G3,B9M6G3A0T0J3
192,A0T0J3,P73306,1.1e-49,173.6,Synechocystis sp. (strain PCC 6803 / Kazusa),A0T0J3P73306,P73306A0T0J3
193,A0T0J3,A0L5Y8,3.8e-49,171.8,Magnetococcus marinus (strain ATCC BAA-1437 / JCM 17883 / MC-1),A0T0J3A0L5Y8,A0L5Y8A0T0J3
194,A0T0J3,B2A4F4,3.9e-49,171.7,Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF),A0T0J3B2A4F4,B2A4F4A0T0J3
195,A0T0J3,Q65P92,4.2e-49,171.7,Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46),A0T0J3Q65P92,Q65P92A0T0J3
196,A0T0J3,A0LIK5,5.0e-49,171.4,Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB),A0T0J3A0LIK5,A0LIK5A0T0J3
197,A0T0J3,Q3MFA7,7.0e-49,170.9,Trichormus variabilis ATCC 29413,A0T0J3Q3MFA7,Q3MFA7A0T0J3
198,A0T0J3,O23049,1.2e-48,170.2,Arabidopsis thaliana,A0T0J3O23049,O23049A0T0J3
199,A0T0J3,B3E845,1.2e-48,170.2,Geobacter lovleyi (strain ATCC BAA-1151 / DSM 17278 / SZ),A0T0J3B3E845,B3E845A0T0J3
201,B7FUM7,D0NVH9,4.4e-197,661.0,Phytophthora infestans (strain T30-4),B7FUM7D0NVH9,D0NVH9B7FUM7
202,B7FUM7,B4PPT4,2.9e-159,536.2,Drosophila yakuba,B7FUM7B4PPT4,B4PPT4B7FUM7
203,B7FUM7,Q017T9,2.6e-157,529.7,Ostreococcus tauri,B7FUM7Q017T9,Q017T9B7FUM7
204,B7FUM7,A4RYD2,2.4e-154,519.9,Ostreococcus lucimarinus (strain CCE9901),B7FUM7A4RYD2,A4RYD2B7FUM7
205,B7FUM7,B0DQB9,1.0e-153,517.9,Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686),B7FUM7B0DQB9,B0DQB9B7FUM7
206,B7FUM7,A8NDT2,3.2e-153,516.2,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003),B7FUM7A8NDT2,A8NDT2B7FUM7
207,B7FUM7,A9SCV9,3.4e-153,516.1,Physcomitrium patens,B7FUM7A9SCV9,A9SCV9B7FUM7
208,B7FUM7,A5DIP4,1.6e-152,513.9,Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324),B7FUM7A5DIP4,A5DIP4B7FUM7
209,B7FUM7,Q4P7R2,3.8e-152,512.7,Ustilago maydis (strain 521 / FGSC 9021),B7FUM7Q4P7R2,Q4P7R2B7FUM7
210,B7FUM7,A5DSZ3,6.0e-151,508.7,Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239),B7FUM7A5DSZ3,A5DSZ3B7FUM7
211,B7FUM7,Q6FMU9,7.9e-151,508.3,Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65),B7FUM7Q6FMU9,Q6FMU9B7FUM7
212,B7FUM7,A9TIK2,1.5e-150,507.4,Physcomitrium patens,B7FUM7A9TIK2,A9TIK2B7FUM7
213,B7FUM7,C5MBF2,2.4e-150,506.8,Candida tropicalis (strain ATCC MYA-3404 / T1),B7FUM7C5MBF2,C5MBF2B7FUM7
214,B7FUM7,Q851S8,2.8e-150,506.5,Oryza sativa subsp. japonica,B7FUM7Q851S8,Q851S8B7FUM7
215,B7FUM7,A8Q0E3,3.2e-150,506.3,Malassezia globosa (strain ATCC MYA-4612 / CBS 7966),B7FUM7A8Q0E3,A8Q0E3B7FUM7
216,B7FUM7,C4R8E8,3.4e-150,506.2,Komagataella phaffii (strain GS115 / ATCC 20864),B7FUM7C4R8E8,C4R8E8B7FUM7
217,B7FUM7,Q6CQ65,5.9e-150,505.5,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),B7FUM7Q6CQ65,Q6CQ65B7FUM7
218,B7FUM7,C5WNV2,8.0e-150,505.0,Sorghum bicolor,B7FUM7C5WNV2,C5WNV2B7FUM7
219,B7FUM7,A3LYS9,8.7e-150,504.9,Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545),B7FUM7A3LYS9,A3LYS9B7FUM7
225,A0T0A0,Q6B8U9,1.3e-13,53.6,Gracilaria tenuistipitata var. liui,A0T0A0Q6B8U9,Q6B8U9A0T0A0
226,A0T0A0,A6MVZ4,1.3e-13,53.5,Rhodomonas salina,A0T0A0A6MVZ4,A6MVZ4A0T0A0
227,A0T0A0,O78505,2.5e-13,52.8,Guillardia theta,A0T0A0O78505,O78505A0T0A0
228,A0T0A0,P74149,4.6e-13,51.9,Synechocystis sp. (strain PCC 6803 / Kazusa),A0T0A0P74149,P74149A0T0A0
229,A0T0A0,Q4G378,7.1e-13,51.4,Emiliania huxleyi,A0T0A0Q4G378,Q4G378A0T0A0
230,A0T0A0,Q32RH6,1.5e-12,50.4,Zygnema circumcarinatum,A0T0A0Q32RH6,Q32RH6A0T0A0
231,A0T0A0,Q8M9Y4,2.0e-12,50.0,Chaetosphaeridium globosum,A0T0A0Q8M9Y4,Q8M9Y4A0T0A0
232,A0T0A0,Q32RT5,2.2e-12,49.9,Staurastrum punctulatum,A0T0A0Q32RT5,Q32RT5A0T0A0
233,A0T0A0,Q1ACI5,2.5e-12,49.7,Chara vulgaris,A0T0A0Q1ACI5,Q1ACI5A0T0A0
234,A0T0A0,B7JUD9,3.1e-12,49.4,Rippkaea orientalis (strain PCC 8801),A0T0A0B7JUD9,B7JUD9A0T0A0
235,A0T0A0,B0JUK8,3.1e-12,49.4,Microcystis aeruginosa (strain NIES-843),A0T0A0B0JUK8,B0JUK8A0T0A0
236,A0T0A0,B1WY29,4.3e-12,49.0,Crocosphaera subtropica (strain ATCC 51142 / BH68),A0T0A0B1WY29,B1WY29A0T0A0
237,A0T0A0,Q9Z3G1,4.4e-12,49.0,Synechococcus elongatus (strain PCC 7942 / FACHB-805),A0T0A0Q9Z3G1,Q9Z3G1A0T0A0
238,A0T0A0,Q1XDG9,4.6e-12,48.9,Pyropia yezoensis,A0T0A0Q1XDG9,Q1XDG9A0T0A0
239,A0T0A0,P12120,4.7e-12,48.9,Marchantia polymorpha,A0T0A0P12120,P12120A0T0A0
243,A0T0K7,B8HV47,1.1e-33,120.4,Cyanothece sp. (strain PCC 7425 / ATCC 29141),A0T0K7B8HV47,B8HV47A0T0K7
244,A0T0K7,B0CCC9,1.0e-32,117.3,Acaryochloris marina (strain MBIC 11017),A0T0K7B0CCC9,B0CCC9A0T0K7
245,A0T0K7,Q2JUX3,3.5e-32,115.6,Synechococcus sp. (strain JA-3-3Ab),A0T0K7Q2JUX3,Q2JUX3A0T0K7
246,A0T0K7,Q2JMX6,3.6e-32,115.5,Synechococcus sp. (strain JA-2-3B'a(2-13)),A0T0K7Q2JMX6,Q2JMX6A0T0K7
247,A0T0K7,B2J5B2,4.2e-32,115.3,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),A0T0K7B2J5B2,B2J5B2A0T0K7
248,A0T0K7,B1WQY3,7.0e-32,114.6,Crocosphaera subtropica (strain ATCC 51142 / BH68),A0T0K7B1WQY3,B1WQY3A0T0K7
249,A0T0K7,Q8DI41,7.9e-32,114.4,Thermosynechococcus elongatus (strain BP-1),A0T0K7Q8DI41,Q8DI41A0T0K7
250,A0T0K7,B7K833,8.1e-32,114.4,Gloeothece citriformis (strain PCC 7424),A0T0K7B7K833,B7K833A0T0K7
